"location","longitude","latitude","elevation_m","province","tmax_mars","tmax_juin","tmax_sept","tmax_dec","precip_mars","precip_juin","precip_sept","precip_dec"
"VICTORIA INT'L A BC 118",-123.43,48.65,19.51,"BRITISH COLUMBIA",11.5,18.9,18.8,7.9,73.4,28.5,112.3,177
"COMOX A BC 155",-124.9,49.72,25.6,"BRITISH COLUMBIA",10,18.2,17.6,6.6,125.2,44,65.8,319.4
"PORT HARDY A BC 202",-127.37,50.68,21.6,"BRITISH COLUMBIA",9.2,14.9,15.2,6.2,189.6,62.6,281.8,288.8
"TERRACE A BC 441",-128.58,54.47,217.3,"BRITISH COLUMBIA",6.5,18.1,16.5,-1,156,58.9,160.3,95.3
"WILLIAMS LAKE A BC 664",-122.05,52.18,939.7,"BRITISH COLUMBIA",8.1,19,15.1,-1.7,10.2,38.7,35.2,14.4
"ABBOTSFORD A BC 702",-122.36,49.03,59.13,"BRITISH COLUMBIA",12.6,19.1,20.5,6.9,120.2,50.6,192.3,231.7
"PENTICTON A BC 1053",-119.6,49.46,344.42,"BRITISH COLUMBIA",12.4,23.6,20.6,2.5,18.4,50.4,45,41.4
"CRANBROOK A BC 1174",-115.78,49.61,940,"BRITISH COLUMBIA",10.2,20.6,17.4,-3,13.4,78.8,42.4,29.6
"KAMLOOPS A BC 1275",-120.44,50.7,345.3,"BRITISH COLUMBIA",12.8,24.1,21.2,2,20.6,36.3,55,11.2
"FORT ST JOHN A BC 1413",-120.74,56.24,694.9,"BRITISH COLUMBIA",3.6,20.7,13.5,-14.5,34.2,14.3,43,41.6
"FORT NELSON A BC 1455",-122.6,58.84,381.9,"BRITISH COLUMBIA",2.9,22.1,13.1,-19.3,24.4,38.8,44,46.2
"MAYO A YT 1572",-135.87,63.62,503.8,"YUKON TERRITORY",1.4,20.3,12.7,-19.8,6.2,52.2,18.8,16
"WATSON LAKE A YT 1615",-128.82,60.12,687.35,"YUKON TERRITORY",1.3,19.3,12.6,-19.2,9.4,50.3,40.1,32.3
"FORT SMITH A NT 1660",-111.96,60.02,205.13,"NORTHWEST TERRITORIES",2.3,22.4,13.7,-15.8,0.8,38.6,19.4,31.2
"HAY RIVER A NT 1664",-115.78,60.84,164.9,"NORTHWEST TERRITORIES",0.5,20.1,12.2,-17.5,4.2,34.8,41.2,36.6
"NORMAN WELLS A NT 1680",-126.8,65.28,72.54,"NORTHWEST TERRITORIES",-7.4,20.5,10.4,-25.2,1.2,58.6,17,18.8
"BAKER LAKE A NU 1709",-96.08,64.3,18.6,"NUNAVUT",-15.8,6.3,5.7,-15.3,15.5,6.8,25.6,16
"KUGLUKTUK A NU 1641",-115.14,67.82,22.6,"NUNAVUT",-15.4,11.5,7.1,-19.7,14.8,24.5,30.8,12
"CORAL HARBOUR A NU 1713",-83.36,64.19,62.2,"NUNAVUT",-16.4,6.6,7.4,-11.8,17,23.4,47.2,23.4
"RANKIN INLET A NU 1721",-92.12,62.82,32.31,"NUNAVUT",-14.7,8.6,8.7,-15.5,22,8.9,32.4,20.8
"CAMBRIDGE BAY A NU 1786",-105.14,69.11,31.09,"NUNAVUT",-21,5.6,4,-21,8.2,16,21.4,13
"EUREKA A NU 1750",-85.93,79.98,10.4,"NUNAVUT",-28.9,7.4,-3.9,-20.9,0.4,1.1,7.7,8.5
"RESOLUTE CARS NU 1776",-94.97,74.72,67.68,"NUNAVUT",-20.8,4.6,-1.2,-18.4,4.6,3.4,3.8,3.2
"EDMONTON INT'L A AB 1865",-113.58,53.32,723.3,"ALBERTA",5.2,20.8,15.2,-10.9,4.2,79.4,40.5,21.1
"EDMONTON STONY PLAIN AB 1870",-114.11,53.55,766.3,"ALBERTA",6.7,20.8,14.8,-9.7,7,68.4,57.4,19.4
"CALGARY INT'L A AB 2205",-114.02,51.11,1084.1,"ALBERTA",9.4,18.9,14.2,-2.2,1.3,63.8,62.4,9.8
"COLD LAKE A AB 2832",-110.28,54.42,541,"ALBERTA",6.3,21.3,14.9,-11.5,34.8,82.2,41.6,30.2
"ESTEVAN A SK 2896",-102.97,49.22,580.3,"SASKATCHEWAN",4.2,22,17.5,-9.7,3.6,133.6,98.8,30
"KINDERSLEY A SK 3231",-109.18,51.52,693.72,"SASKATCHEWAN",7.7,21.4,16.2,-9.5,0.8,112.6,30.8,4
