MRC,Population. 2021,Superficie des terres en kilomètres carrés. 2021
"Abitibi, Municipalité régionale de comté juridique (incluant les territoires autochtones)",24764,7627.63
"Abitibi-Ouest, Municipalité régionale de comté juridique",20526,3312.45
"Acton, Municipalité régionale de comté juridique",15654,579.64
"Admin. régionale Kativik, Municipalité régionale de comté géographique",14050,417757.38
"Antoine-Labelle, Municipalité régionale de comté juridique",36462,14809.85
"Argenteuil, Municipalité régionale de comté juridique",34752,1234.69
"Arthabaska, Municipalité régionale de comté juridique",74348,1887.09
"Avignon, Municipalité régionale de comté juridique (incluant les territoires autochtones)2",13415,3487.37
"Beauce-Sartigan, Municipalité régionale de comté juridique",53384,1952.73
"Beauharnois-Salaberry, Municipalité régionale de comté juridique",68322,468.48
"Bellechasse, Municipalité régionale de comté juridique",38000,1749.91
"Bonaventure, Municipalité régionale de comté juridique",17557,4379.46
"Brome-Missisquoi, Municipalité régionale de comté juridique",64786,1650.2
"Bécancour, Municipalité régionale de comté juridique (incluant les territoires autochtones)",20748,1143.13
"Caniapiscau, Municipalité régionale de comté juridique (incluant les territoires autochtones)",3882,64936.44
"Charlevoix, Municipalité régionale de comté juridique",13371,3736.8
"Charlevoix-Est, Municipalité régionale de comté juridique",15409,2288.97
"Coaticook, Municipalité régionale de comté juridique",18906,1338.86
"Com.maritime ÎlesDeLaMadeleine, Municipalité régionale de comté géographique",12654,187.33
"D'Autray, Municipalité régionale de comté juridique",44080,1234.67
"Deux-Montagnes, Municipalité régionale de comté juridique2",102052,242.88
"Drummond, Municipalité régionale de comté juridique",107967,1599.1
"Eeyou Istchee, Municipalité régionale de comté géographique",16858,5549
"Gatineau, Municipalité régionale de comté géographique",291041,341.84
"Jamésie, Municipalité régionale de comté géographique",14832,284000.14
"Joliette, Municipalité régionale de comté juridique",71124,417.41
"Kamouraska, Municipalité régionale de comté juridique",21307,2241.05
"L'Assomption, Municipalité régionale de comté juridique",128087,255.16
"L'Islet, Municipalité régionale de comté juridique",17598,2097.09
"L'Érable, Municipalité régionale de comté juridique",23534,1287.03
"L'Île-d'Orléans, Municipalité régionale de comté juridique",6817,194.58
"La Côte-de-Beaupré, Municipalité régionale de comté juridique",30240,4845.19
"La Côte-de-Gaspé, Municipalité régionale de comté juridique",17547,4088.39
"La Haute-Côte-Nord, Municipalité régionale de comté juridique (incluant les territoires autochtones)",10278,11295.82
"La Haute-Gaspésie, Municipalité régionale de comté juridique",10950,5053.88
"La Haute-Yamaska, Municipalité régionale de comté juridique",92796,636
"La Jacques-Cartier, Municipalité régionale de comté juridique",47813,3183.75
"La Matanie, Municipalité régionale de comté juridique",20883,3315.74
"La Matapédia, Municipalité régionale de comté juridique",17592,5354.53
"La Mitis, Municipalité régionale de comté juridique",18363,2275.56
"La Nouvelle-Beauce, Municipalité régionale de comté juridique",37988,905.33
"La Rivière-du-Nord, Municipalité régionale de comté juridique",140394,447.88
"La Tuque, Municipalité régionale de comté géographique",15038,26031.84
"La Vallée-de-l'Or, Municipalité régionale de comté juridique (incluant les territoires autochtones)",43347,24094.84
"La Vallée-de-la-Gatineau, Municipalité régionale de comté juridique (incluant les territoires autochtones)2",20547,12362.49
"La Vallée-du-Richelieu, Municipalité régionale de comté juridique",131803,587.84
"Lac-Saint-Jean-Est, Municipalité régionale de comté juridique",52475,2767.51
"Laval, Municipalité régionale de comté géographique",438366,246.13
"Le Domaine-du-Roy, Municipalité régionale de comté juridique (incluant les territoires autochtones)",31095,17476.45
"Le Fjord-du-Saguenay, Municipalité régionale de comté juridique",23110,38672.61
"Le Golfe-du-Saint-Laurent, Municipalité régionale de comté juridique (incluant les territoires autochtones)2",3382,40686.75
"Le Granit, Municipalité régionale de comté juridique",21948,2731.55
"Le Haut-Richelieu, Municipalité régionale de comté juridique",121277,934.85
"Le Haut-Saint-François, Municipalité régionale de comté juridique",22926,2269.68
"Le Haut-Saint-Laurent, Municipalité régionale de comté juridique (incluant les territoires autochtones)2",22213,1168.08
"Le Rocher-Percé, Municipalité régionale de comté juridique",17219,3074.8
"Le Val-Saint-François, Municipalité régionale de comté juridique",31551,1401.56
"Les Appalaches, Municipalité régionale de comté juridique",43412,1911.83
"Les Basques, Municipalité régionale de comté juridique",8873,1120.03
"Les Chenaux, Municipalité régionale de comté juridique",19180,872.01
"Les Collines-de-l'Outaouais, Municipalité régionale de comté juridique",54498,2025.38
"Les Etchemins, Municipalité régionale de comté juridique",16927,1809.61
"Les Jardins-de-Napierville, Municipalité régionale de comté juridique",30339,802.52
"Les Laurentides, Municipalité régionale de comté juridique (incluant les territoires autochtones)2",50777,2457.53
"Les Maskoutains, Municipalité régionale de comté juridique",89432,1302.15
"Les Moulins, Municipalité régionale de comté juridique",171127,260.65
"Les Pays-d'en-Haut, Municipalité régionale de comté juridique",46906,673.98
"Les Sources, Municipalité régionale de comté juridique",14623,785.42
"Longueuil, Municipalité régionale de comté géographique",436785,282.39
"Lotbinière, Municipalité régionale de comté juridique",34586,1662.26
"Lévis, Municipalité régionale de comté géographique",149683,448.07
"Manicouagan, Municipalité régionale de comté juridique (incluant les territoires autochtones)",30158,34655.04
"Marguerite-D'Youville, Municipalité régionale de comté juridique",80313,347.1
"Maria-Chapdelaine, Municipalité régionale de comté juridique",24149,35501.49
"Maskinongé, Municipalité régionale de comté juridique",37292,2367.08
"Matawinie, Municipalité régionale de comté juridique (incluant les territoires autochtones)",55500,9423.15
"Memphrémagog, Municipalité régionale de comté juridique",54797,1317.42
"Minganie, Municipalité régionale de comté juridique (incluant les territoires autochtones)",6467,53340.31
"Mirabel, Municipalité régionale de comté géographique",61108,484.09
"Montcalm, Municipalité régionale de comté juridique",58680,709.58
"Montmagny, Municipalité régionale de comté juridique",22481,1695.09
"Montréal, Municipalité régionale de comté géographique",2004265,498.29
"Mékinac, Municipalité régionale de comté juridique",12762,5186.22
"Nicolet-Yamaska, Municipalité régionale de comté juridique (incluant les territoires autochtones)",23848,1004.98
"Papineau, Municipalité régionale de comté juridique",24308,2903.45
"Pierre-De Saurel, Municipalité régionale de comté juridique",51843,595.13
"Pontiac, Municipalité régionale de comté juridique",14764,12824.36
"Portneuf, Municipalité régionale de comté juridique",55523,3887.88
"Québec, Municipalité régionale de comté géographique",588777,547.6
"Rimouski-Neigette, Municipalité régionale de comté juridique",57191,2703.99
"Rivière-du-Loup, Municipalité régionale de comté juridique (incluant les territoires autochtones)",35338,1276.86
"Robert-Cliche, Municipalité régionale de comté juridique",19253,839.6
"Roussillon, Municipalité régionale de comté juridique (incluant les territoires autochtones)2",185568,420.44
"Rouville, Municipalité régionale de comté juridique",37889,482.8
"Rouyn-Noranda, Municipalité régionale de comté géographique",42313,5963.57
"Saguenay, Municipalité régionale de comté géographique",144723,1124.63
"Sept-Rivières, Municipalité régionale de comté juridique (incluant les territoires autochtones)",34358,29527.9
"Shawinigan, Municipalité régionale de comté géographique",49620,729.98
"Sherbrooke, Municipalité régionale de comté géographique",172950,353.4
"Thérèse-De Blainville, Municipalité régionale de comté juridique",163632,206.52
"Trois-Rivières, Municipalité régionale de comté géographique",139163,288.65
"Témiscamingue, Municipalité régionale de comté juridique (incluant les territoires autochtones)",16132,16327.26
"Témiscouata, Municipalité régionale de comté juridique",19492,3900.42
"Vaudreuil-Soulanges, Municipalité régionale de comté juridique",162600,854.19
